siteRef,MPAN,ConsumptionDate,kWh_1,kWh_2,kWh_3,kWh_4,kWh_5,kWh_6,kWh_7,kWh_8,kWh_9,kWh_10,kWh_11,kWh_12,kWh_13,kWh_14,kWh_15,kWh_16,kWh_17,kWh_18,kWh_19,kWh_20,kWh_21,kWh_22,kWh_23,kWh_24,kWh_25,kWh_26,kWh_27,kWh_28,kWh_29,kWh_30,kWh_31,kWh_32,kWh_33,kWh_34,kWh_35,kWh_36,kWh_37,kWh_38,kWh_39,kWh_40,kWh_41,kWh_42,kWh_43,kWh_44,kWh_45,kWh_46,kWh_47,kWh_48,kVArh_1,kVArh_2,kVArh_3,kVArh_4,kVArh_5,kVArh_6,kVArh_7,kVArh_8,kVArh_9,kVArh_10,kVArh_11,kVArh_12,kVArh_13,kVArh_14,kVArh_15,kVArh_16,kVArh_17,kVArh_18,kVArh_19,kVArh_20,kVArh_21,kVArh_22,kVArh_23,kVArh_24,kVArh_25,kVArh_26,kVArh_27,kVArh_28,kVArh_29,kVArh_30,kVArh_31,kVArh_32,kVArh_33,kVArh_34,kVArh_35,kVArh_36,kVArh_37,kVArh_38,kVArh_39,kVArh_40,kVArh_41,kVArh_42,kVArh_43,kVArh_44,kVArh_45,kVArh_46,kVArh_47,kVArh_48
Valley Park Primary Sch,2380000142498,06/11/2018,3.620000000,3.350000000,3.700000000,3.370000000,3.230000000,3.650000000,3.850000000,4.280000000,3.870000000,3.930000000,3.780000000,4.110000000,4.770000000,7.200000000,11.020000000,15.710000000,17.610000000,17.480000000,18.090000000,19.590000000,19.299900000,20.469900000,21.559900000,20.680000000,21.450000000,22.160000000,19.600000000,16.660000000,15.730000000,17.590000000,15.190000000,16.400000000,14.890000000,14.920000000,13.520000000,12.150000000,8.380000000,4.510000000,4.360000000,4.160000000,4.230000000,4.190000000,4.680000000,4.810000000,4.270000000,4.400000000,4.270000000,4.400000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley Park Primary Sch,2380000142498,07/11/2018,4.240000000,4.830000000,4.690000000,4.370000000,4.230000000,4.290000000,4.200000000,4.330000000,4.540000000,4.670000000,4.330000000,4.890000000,5.920000000,9.230000000,13.680000000,15.620000000,19.740000000,19.100000000,20.030000000,18.850000000,20.100000000,19.980000000,21.320000000,20.840000000,21.049900000,21.230000000,20.969900000,18.440000000,17.910000000,16.520000000,16.990000000,17.260000000,16.420000000,13.480000000,12.390000000,11.000000000,7.300000000,6.180000000,4.820000000,4.130000000,4.140000000,4.140000000,4.380000000,4.660000000,4.830000000,4.540000000,4.720000000,4.760000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodthorpe Community Primary Sch,2380000477230,06/11/2018,3.370000000,3.230000000,3.340000000,3.340000000,3.340000000,3.320000000,3.330000000,3.340000000,3.330000000,3.280000000,3.210000000,3.220000000,4.850000000,8.560000000,15.540000000,18.120000000,18.389900000,18.150000000,17.590000000,18.180000000,18.190000000,18.049900000,21.350000000,22.280000000,23.120000000,20.620000000,18.270000000,17.500000000,17.900000000,18.590000000,17.290000000,15.760000000,13.930000000,12.820000000,10.740000000,8.170000000,3.250000000,3.190000000,3.230000000,3.190000000,3.220000000,3.250000000,3.340000000,3.300000000,3.310000000,3.320000000,3.140000000,3.160000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodthorpe Community Primary Sch,2380000477230,07/11/2018,3.330000000,3.220000000,3.270000000,3.330000000,3.310000000,3.230000000,3.380000000,3.320000000,3.300000000,3.310000000,3.260000000,3.250000000,4.660000000,9.970000000,14.560000000,16.559900000,16.950000000,19.780000000,19.030000000,19.209900000,20.139900000,20.120000000,20.980000000,23.719900000,22.820000000,21.590000000,20.920000000,19.350000000,18.290000000,18.240000000,17.000000000,14.900000000,15.180000000,13.110000000,12.420000000,11.940000000,4.870000000,3.100000000,3.180000000,3.160000000,3.190000000,3.180000000,3.230000000,3.220000000,3.280000000,3.320000000,3.270000000,3.190000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILLIMORE COMMUNITY PRIMARY,2335030707710,06/11/2018,2.552000000,2.455000000,2.542000000,2.454000000,2.584000000,3.003000000,3.023000000,3.052000000,3.028000000,3.078000000,3.244000000,3.304000000,3.569000000,3.309000000,6.786000000,13.672000000,16.376000000,17.861000000,18.208000000,18.245000000,17.743000000,19.352000000,20.072000000,18.577000000,18.710000000,17.700000000,16.805000000,18.112000000,14.604000000,13.822000000,13.497000000,13.102000000,11.237000000,9.172000000,8.626000000,6.808000000,4.715000000,3.206000000,2.543000000,2.690000000,2.526000000,2.621000000,2.612000000,2.654000000,2.604000000,2.594000000,2.537000000,2.632000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILLIMORE COMMUNITY PRIMARY,2335030707710,07/11/2018,2.620000000,2.603000000,2.705000000,2.603000000,2.619000000,2.948000000,3.169000000,3.159000000,3.106000000,3.156000000,3.096000000,3.487000000,3.607000000,3.919000000,5.829000000,13.419000000,17.621000000,19.527000000,18.876000000,18.276000000,18.590000000,19.216000000,19.331000000,18.376000000,19.050000000,18.033000000,17.213000000,16.252000000,13.504000000,14.195000000,12.895000000,12.420000000,10.427000000,11.290000000,11.079000000,7.739000000,6.581000000,3.394000000,2.606000000,2.712000000,2.570000000,2.659000000,2.628000000,2.671000000,2.619000000,2.652000000,2.671000000,2.645000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNDELLA PRIMARY,2333202372710,06/11/2018,1.006000000,0.957000000,1.180000000,1.014000000,0.993000000,0.949000000,1.427000000,1.346000000,1.359000000,1.378000000,1.536000000,1.350000000,1.389000000,1.600000000,1.662000000,2.411000000,4.000000000,6.879000000,8.715000000,15.691000000,15.250000000,16.373000000,15.224000000,12.988000000,13.232000000,13.926000000,12.697000000,10.035000000,8.692000000,9.377000000,9.133000000,9.129000000,8.026000000,8.256000000,7.377000000,6.920000000,4.762000000,2.713000000,2.561000000,2.499000000,2.559000000,2.450000000,2.444000000,2.544000000,2.626000000,2.432000000,2.434000000,2.443000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNDELLA PRIMARY,2333202372710,07/11/2018,2.615000000,2.745000000,2.479000000,2.559000000,2.523000000,2.704000000,2.847000000,2.849000000,2.843000000,2.741000000,2.805000000,2.990000000,2.839000000,3.003000000,3.031000000,3.214000000,4.761000000,6.381000000,7.689000000,14.357000000,14.204000000,14.678000000,14.870000000,13.048000000,12.663000000,13.398000000,13.241000000,11.451000000,10.980000000,10.272000000,8.233000000,9.235000000,8.067000000,6.571000000,6.162000000,5.308000000,3.586000000,1.164000000,1.042000000,0.974000000,1.101000000,1.163000000,1.023000000,1.030000000,0.964000000,1.106000000,1.190000000,1.125000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWFIELD PRIMARY,2330100293711,06/11/2018,2.770000000,2.610000000,2.610000000,2.660000000,2.660000000,2.720000000,2.670000000,2.640000000,3.280000000,4.340000000,4.040000000,4.520000000,3.580000000,4.470000000,5.190000000,4.630000000,8.900000000,13.250000000,14.140000000,17.060000000,16.430000000,15.930000000,16.170000000,17.550000000,17.120000000,16.020000000,14.530000000,16.110000000,16.180000000,15.110000000,13.020000000,13.130000000,13.930000000,11.980000000,10.750000000,8.860000000,4.950000000,3.300000000,2.600000000,2.710000000,2.510000000,2.620000000,2.660000000,2.640000000,2.650000000,2.650000000,2.620000000,2.670000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWFIELD PRIMARY,2330100293711,07/11/2018,2.690000000,2.700000000,2.720000000,2.710000000,2.710000000,2.650000000,2.730000000,2.790000000,3.050000000,4.550000000,3.560000000,4.320000000,4.130000000,4.500000000,4.740000000,4.590000000,8.990000000,13.240000000,13.980000000,14.820000000,16.080000000,15.880000000,16.260000000,15.890000000,17.000000000,14.730000000,14.820000000,15.470000000,16.240000000,15.500000000,14.380000000,13.310000000,13.310000000,12.390000000,10.890000000,8.720000000,6.100000000,2.960000000,2.840000000,2.820000000,2.870000000,2.880000000,2.760000000,2.860000000,2.870000000,2.860000000,2.740000000,2.890000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
