Term,Start Date,End Date
2009-10 Term 4,22/02/2010,31/03/2010
2009-10 Term 5,19/04/2010,28/05/2010
2009-10 Term 6,07/06/2010,22/07/2010
2010-2011 Term 1,01/09/2010,22/10/2010
2010-2011 Term 2,01/11/2010,17/12/2010
2010-2011 Term 3,04/01/2011,18/02/2011
2010-2011 Term 4,28/02/2011,08/04/2011
2010-2011 Term 5,26/04/2011,27/05/2011
2010-2011 Term 6,06/06/2011,22/07/2011
2011-12 Term 1,03/09/2011,21/10/2011
2011-12 Term 2,31/10/2011,16/12/2011
2011-12 Term 3,03/01/2012,10/02/2012
2011-12 Term 4,20/02/2012,30/03/2012
2011-12 Term 5,16/04/2012,01/06/2012
2011-12 Term 6,11/06/2012,18/07/2012
2012-13 Term 1,03/09/2012,26/10/2012
2012-13 Term 2,05/11/2012,21/12/2012
2012-13 Term 3,03/01/2013,08/02/2013
2012-13 Term 4,18/02/2013,21/03/2013
2012-13 Term 5,08/04/2013,24/05/2013
2012-13 Term 6,03/06/2013,19/07/2013
2013-14 Term 1,02/09/2013,23/10/2013
2013-14 Term 2,04/11/2013,20/12/2013
2013-14 Term 3,06/01/2014,14/02/2014
2013-14 Term 4,24/02/2014,04/04/2014
2013-14 Term 5,22/04/2014,23/05/2014
2013-14 Term 6,02/06/2014,22/07/2014
2014-15 Term 1,03/09/2014,22/10/2014
2014-15 Term 2,03/11/2014,19/12/2014
2014-15 Term 3,05/01/2015,13/02/2015
2014-15 Term 4,23/02/2015,27/03/2015
2014-15 Term 5,13/04/2015,22/05/2015
2014-15 Term 6,01/06/2015,17/07/2015
2015-16 Term 1,02/09/2015,21/10/2015
2015-16 Term 2,02/11/2015,18/12/2015
2015-16 Term 3,04/01/2016,12/02/2016
2015-16 Term 4,22/02/2016,01/04/2016
2015-16 Term 5,18/04/2016,27/05/2016
2015-16 Term 6,06/06/2016,19/07/2016
2016-17 Term 1,01/09/2016,21/10/2016
2016-17 Term 2,31/10/2016,16/12/2016
2016-17 Term 3,03/01/2017,10/02/2017
2016-17 Term 4,20/02/2017,07/04/2017
2016-17 Term 5,24/04/2017,26/05/2017
2016-17 Term 6,05/06/2017,21/07/2017
2017-18 Term 1,04/09/2017,20/10/2017
2017-18 Term 2,30/10/2017,15/12/2017
2017-18 Term 3,02/01/2018,09/02/2018
2017-18 Term 4,19/02/2018,23/03/2018
2017-18 Term 5,09/04/2018,25/05/2018
2017-18 Term 6,04/06/2018,24/07/2018
2018-19 Term 1,03/09/2018,26/10/2018
2018-19 Term 2,05/11/2018,21/12/2018
2018-19 Term 3,07/01/2019,15/02/2019
2018-19 Term 4,25/02/2019,05/04/2019
2018-19 Term 5,23/04/2019,24/05/2019
2018-19 Term 6,03/06/2019,23/07/2019
