at,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
01/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99E-06,0.000591094,0.002092769,0.006653324,0.007943921,0.007105118,0.016102572,0.020782225,0.018082192,0.013382556,0.008595456,0.001558712,0.000818697,0.000444261,0.00038761,3.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000630631,0.026033228,0.088610186,0.209952617,0.287526384,0.349725283,0.387420329,0.393676805,0.408604616,0.415759306,0.359245432,0.233925661,0.172795626,0.083827072,0.017501684,0.00802193,6.59E-05,5.25E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000307742,0.018770273,0.025697407,0.023225562,0.023173941,0.096093208,0.104069462,0.117503723,0.363254027,0.193335973,0.258719287,0.213098849,0.122469847,0.067024142,0.066589468,0.013230006,0.000480416,3.11E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
04/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14E-05,0.000328931,0.004583408,0.013526748,0.027843432,0.030990229,0.018758277,0.011647031,0.022700873,0.023922573,0.015902574,0.010174671,0.008831662,0.011980379,0.01666619,0.005232728,0.000100659,0,0,0,0,0,0,0,0,0,0,0,0,0
05/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000324087,0.008126524,0.023781051,0.046392565,0.051551303,0.034530691,0.019880842,0.020764469,0.028598976,0.038883798,0.053387511,0.032082638,0.022990117,0.018474339,0.009388782,0.000967413,5.86E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85E-05,0.007149339,0.037188895,0.078901776,0.093055418,0.085305051,0.096506193,0.240247546,0.156926402,0.161643965,0.150138817,0.146358768,0.092359077,0.057553995,0.041180221,0.008419944,0.000351947,1.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
07/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.29E-05,0.000939196,0.050641738,0.154147354,0.231800081,0.26991465,0.307462488,0.296943889,0.267948273,0.265243765,0.315154531,0.25278633,0.203970218,0.124114634,0.033544814,0.013862715,8.03E-05,5.16E-07,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149283,0.026545784,0.056878053,0.11159671,0.186785381,0.160434901,0.160575371,0.141804175,0.12094709,0.081292644,0.031700874,0.024385457,0.019663718,0.008837944,0.002269244,3.82E-05,5.79E-09,2.93E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
09/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76E-06,0.011017073,0.068057899,0.193312403,0.250915804,0.274654623,0.191125897,0.229184283,0.340410885,0.377625648,0.340902234,0.315658084,0.283696846,0.196594056,0.091663966,0.026938511,0.000497947,5.85E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
10/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003476704,0.051477692,0.088430341,0.083063462,0.087921167,0.124539929,0.126663694,0.107956062,0.101068092,0.092638252,0.097389819,0.086828188,0.074511194,0.0459137,0.022441174,0.005512322,2.94E-06,7.08E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
