"Category","Page","Audience","Section"
"Joining Energy Sparks","Basic requirements","anyone","Who can join Energy Sparks?"
"Joining Energy Sparks","Basic requirements","anyone","What data and meters do we need to join?"
"Joining Energy Sparks","Basic requirements","anyone","What permission does Energy Sparks need?"
"Joining Energy Sparks","Basic requirements","anyone","What do we need to do next?"
"Joining Energy Sparks","Reasons to join Energy Sparks","anyone","What savings can I expect to achieve?"
"Joining Energy Sparks","Reasons to join Energy Sparks","anyone","What makes Energy Sparks unique?"
"Joining Energy Sparks","Reasons to join Energy Sparks","anyone","How does Energy Sparks compare to our supplier portal?"
"Joining Energy Sparks","Pricing and free places","anyone","How much does Energy Sparks cost?"
"Joining Energy Sparks","Pricing and free places","anyone","What support is provided?"
"Joining Energy Sparks","Pricing and free places","anyone","Do you have free places available?"
"Joining Energy Sparks","Pricing and free places","anyone","Expectations if you have a free place"
"Joining Energy Sparks","Pricing and free places","anyone","What happens when a free place ends?"
"Joining Energy Sparks","Pricing and free places","anyone","What additional services are available?"
"Joining Energy Sparks","The account set up process","anyone","Overview"
"Joining Energy Sparks","The account set up process","anyone","Creating a school admin account"
"Joining Energy Sparks","The account set up process","anyone","Granting consent"
"Joining Energy Sparks","The account set up process","anyone","Adding school details"
"Joining Energy Sparks","The account set up process","anyone","Adding additional users"
"Joining Energy Sparks","The account set up process","anyone","What happens next?"
"Engaging the school community","Educational activities","school_users","What are pupil activities?"
"Engaging the school community","Educational activities","school_users","How to use activities in the classroom"
"Engaging the school community","Educational activities","school_users","How to use activities with your ecoteam or club"
"Engaging the school community","Educational activities","school_users","How to find relevant activities"
"Engaging the school community","Educational activities","school_users","How to record activities"
"Engaging the school community","Energy saving actions","school_users","What are energy saving actions?"
"Engaging the school community","Energy saving actions","school_users","How to find relevant actions"
"Engaging the school community","Energy saving actions","school_users","How to record actions"
"Engaging the school community","Programmes","school_users","What are Programmes?"
"Engaging the school community","Programmes","school_users","How to find relevant programmes"
"Engaging the school community","Programmes","school_users","Enrolling in a programme"
"Engaging the school community","Programmes","school_users","How to track progress"
"Engaging the school community","Programmes","school_users","Completing programmes"
"Engaging the school community","Competitions","school_users","Overview"
"Engaging the school community","Competitions","school_users","Scoring points"
"Engaging the school community","Competitions","school_users","How do the scoreboards work?"
"Engaging the school community","Competitions","school_users","Competition rules"
"Engaging the school community","Competitions","school_users","Running a competition within a trust or local authority"
"Engaging the school community","Tips for getting started","school_users","Setup an ecoteam"
"Engaging the school community","Tips for getting started","school_users","Involving staff and pupils"
"Engaging the school community","Tips for getting started","school_users","Sign up for training"
