"Diocese","Code"
"Diocese of Bath and Wells","CE01"
"Diocese of Birmingham","CE02"
"Diocese of Blackburn","CE03"
"Diocese of Bristol","CE05"
"Diocese of Canterbury","CE06"
"Diocese of Carlisle","CE07"
"Diocese of Chelmsford","CE08"
"Diocese of Chester","CE09"
"Diocese of Chichester","CE10"
"Diocese of Coventry","CE11"
"Diocese of Derby","CE12"
"Diocese of Durham","CE13"
"Diocese of Ely","CE14"
"Diocese of Exeter","CE15"
"Diocese of Gloucester","CE16"
"Diocese of Guildford","CE17"
"Diocese of Hereford","CE18"
"Diocese of Leeds","CE43"
"Diocese of Leicester","CE19"
"Diocese of Lichfield","CE20"
"Diocese of Lincoln","CE21"
"Diocese of Liverpool","CE22"
"Diocese of London","CE23"
"Diocese of Manchester","CE24"
"Diocese of Newcastle","CE25"
"Diocese of Norwich","CE26"
"Diocese of Oxford","CE27"
"Diocese of Peterborough","CE28"
"Diocese of Portsmouth","CE29"
"Diocese of Rochester","CE31"
"Diocese of Salisbury","CE34"
"Diocese of Sheffield","CE35"
"Diocese of Southwark","CE36"
"Diocese of Southwell and Nottingham","CE37"
"Diocese of St Albans","CE32"
"Diocese of St Edmundsbury and Ipswich","CE33"
"Diocese of Truro","CE38"
"Diocese of Winchester","CE40"
"Diocese of Worcester","CE41"
"Diocese of York","CE42"
