School group,School name,Funder name
Lift Schools,Lea Forest Primary Academy,Laser/npower
Lift Schools,Barton Hill Academy,Laser/npower
Lift Schools,Anglesey Primary Academy,Laser/npower
Midsomer Norton Schools Partnership,St Matthias Academy Rush Hill,
Lift Schools,Newington Academy,Laser/npower
Lift Schools,Kingsley Academy,Laser/npower
ACES Academies Trust,Godmanchester Community Academy,
All Saints Catholic Academy Trust,Holy Rood Catholic Primary School,
All Saints Catholic Academy Trust,"St John's Catholic Primary School, Rickmansworth",
All Saints Catholic Academy Trust,St Joan of Arc Catholic Secondary School,
All Saints Catholic Academy Trust,Divine Saviour Catholic Primary School,
Anglian Learning,Sawston Village College,
Anglian Learning,Howard Community Academy,Drax
Anglian Learning,"Joyce Frankland Academy, Newport",
Anglian Learning,Bottisham Village College,
Anglian Learning,Marleigh Primary Academy,
Anglian Learning,The Pines,
Oxfordshire,Wootton St Peter's Primary School,
Anglian Learning,Bassingbourn Village College,
Anglian Learning,Linton Village College,
Arden Forest Multi-Academy Trust,Henley in Arden Primary School,OVO Foundation
Arden Forest Multi-Academy Trust,St Nicholas C of E Primary School,OVO Foundation
Arden Forest Multi-Academy Trust,Studley Infants' School,OVO Foundation
Arden Forest Multi-Academy Trust,Harbury C of E Primary School,MAT funding
Arden Forest Multi-Academy Trust,Coughton C of E Primary School,MAT funding
Arden Forest Multi-Academy Trust,The Ferncumbe C of E Primary School,MAT funding
Arden Forest Multi-Academy Trust,Temple Grafton Primary School,MAT funding
Arden Forest Multi-Academy Trust,Tanworth-in-Arden Primary School and Nursery,MAT funding
"Aspire Academy Trust, Cornwall",Tregolls Academy,MAT funding
"Aspire Academy Trust, Cornwall",Bude Primary Academy - Juniors,MAT funding
"Aspire Academy Trust, Cornwall",Truro Learning Academy,OVO Foundation
"Aspire Academy Trust, Cornwall",Tintagel Primary School,OVO Foundation
"Aspire Academy Trust, Cornwall",Penryn Primary Academy & Nursery,MAT funding
"Aspire Academy Trust, Cornwall",Treverbyn Academy & Nursery,OVO Foundation
"Aspire Academy Trust, Cornwall",Padstow School & Nursery,OVO Foundation
"Aspire Academy Trust, Cornwall",Biscovey Nursery & Infants' Academy,OVO Foundation
"Aspire Academy Trust, Cornwall",St Stephen Churchtown Academy,OVO Foundation
"Aspire Academy Trust, Cornwall",Indian Queens Primary School,OVO Foundation
"Aspire Academy Trust, Cornwall",Bude Primary Academy - Infants,OVO Foundation
"Aspire Academy Trust, Cornwall",Delabole School,OVO Foundation
"Aspire Academy Trust, Cornwall",Shortlanesend Primary,MAT funding
"Aspire Academy Trust, Cornwall",Sandy Hill Academy,OVO Foundation
"Aspire Academy Trust, Cornwall",St Breock Primary School,MAT funding
"Aspire Academy Trust, Cornwall",Nansloe Academy,OVO Foundation
"Aspire Academy Trust, Cornwall",Nansledan School,OVO Foundation
"Aspire Academy Trust, Cornwall",Summercourt Academy,OVO Foundation
"Aspire Academy Trust, Cornwall",Connor Downs Academy,OVO Foundation
"Aspire Academy Trust, Cornwall",Probus Primary School,OVO Foundation
"Aspire Academy Trust, Cornwall",St Uny C of E Primary Academy,OVO Foundation
"Aspire Academy Trust, Cornwall",Coverack Primary School,MAT funding
"Aspire Academy Trust, Cornwall",Grade Ruan C of E Primary School,MAT funding
"Aspire Academy Trust, Cornwall",Cubert School,MAT funding
"Aspire Academy Trust, Cornwall",St Minver School,OVO Foundation
"Aspire Academy Trust, Cornwall",Cusgarne Primary School,MAT funding
"Aspire Academy Trust, Cornwall",Mawgan in Pydar Primary School,OVO Foundation
"Aspire Academy Trust, Cornwall",Warbstow Primary Academy,OVO Foundation
"Aspire Academy Trust, Cornwall",Mount Hawke Academy,OVO Foundation
"Aspire Academy Trust, Cornwall",Biscovey Academy,MAT funding
"Aspire Academy Trust, Cornwall",Manaccan Primary School,MAT funding
"Aspire Learning Partnership, Leicester",The City of Leicester College,G4S
Attenborough Learning Trust,Green Lane Infant School,Leicester City Council
Attenborough Learning Trust,Sparkenhoe Community Primary School,Leicester City Council
Attenborough Learning Trust,Highfields Primary School,Drax
Aurora Academies Trust,Westvale Park Primary Academy,
Aurora Academies Trust,Heron Park Primary Academy,
Aurora Academies Trust,The Gatwick School,
Aurora Academies Trust,Glenleigh Park Primary Academy,
Aurora Academies Trust,King Offa Primary Academy,
Aurora Academies Trust,City Academy Whitehawk,
Aurora Academies Trust,Oakwood Primary Academy,
Bath and NE Somerset,Twerton Infant School,OVO Foundation
Bath and NE Somerset,Paulton Junior School,
Bath and Wells Multi Academy Trust,St Michael's Junior Church School,
Bath and Wells Multi Academy Trust,St Andrew's Church School,
Futura Learning Partnership,Four Acres Academy,OVO Foundation
Futura Learning Partnership,Bedminster Down School,OVO Foundation
Bath and Wells Multi Academy Trust,St Saviours Junior Church School,
Bath and Wells Multi Academy Trust,Batheaston Church School,
Bath and Wells Multi Academy Trust,St Saviours Infant Church School,
Bath and Wells Multi Academy Trust,Freshford Church School,OVO Foundation
Bath and Wells Multi Academy Trust,St Stephen's Church School,
Bath and Wells Multi Academy Trust,Swainswick Church School,OVO Foundation
Bath and Wells Multi Academy Trust,Bathampton Primary School,
Birmingham,"St Benedict's Primary School, Birmingham",Acivico
Bradgate Education Partnership,Swallowdale Primary School,
Bradgate Education Partnership,Highgate Primary School,
Bradgate Education Partnership,Seagrave Village Primary School,
Bradgate Education Partnership,Ratby Primary School,Drax
Bradgate Education Partnership,Stafford Leys Primary School,
Bradgate Education Partnership,Newtown Linford Primary School,
Bradgate Education Partnership,Eastfield Primary School,
Bradgate Education Partnership,The Roundhill Academy,MAT funding
Bradgate Education Partnership,The Merton Primary School,
