School group,School name,Funder name
5 Dimensions Trust,Emerson Valley School,OVO Foundation
5 Dimensions Trust,Merebrook Infant School,Big Give 2025
5 Dimensions Trust,Priory Rise School,MAT funding
5 Dimensions Trust,Shenley Brook End School,MAT funding
5 Dimensions Trust,The Hazeley Academy,MAT funding
5 Dimensions Trust,Walton High,MAT funding
A.C.T. Multi-Academy Trust,Buckden CofE Primary School,Drax
A.C.T. Multi-Academy Trust,Burrough Green CofE Primary Academy,Drax
A.C.T. Multi-Academy Trust,Great Wilbraham Primary,Drax
Acer Trust,Botley School,OVO Foundation
Affinity Learning Partnership,Eton Park Junior,OVO Foundation
Affinity Learning Partnership,Granville Academy,OVO Foundation
Affinity Learning Partnership,Horninglow Primary School,MAT funding
Affinity Learning Partnership,Lansdowne Infant School,MAT funding
Affinity Learning Partnership,Richard Wakefield C.E. Primary Academy,OVO Foundation
Affinity Learning Partnership,The De Ferrers Academy - Dove Campus,Archive
Affinity Learning Partnership,The De Ferrers Academy - Sixth Form,Archive
Affinity Learning Partnership,The De Ferrers Academy - Trent Campus,Archive
Affinity Learning Partnership,The Pingle Academy,Archive
ALP Schools,ALP Sittingbourne,OVO Foundation
Anglian Learning,Howard Community Academy,Drax
Arden Forest Multi-Academy Trust,Coughton C of E Primary School,Archive
Arden Forest Multi-Academy Trust,Harbury C of E Primary School,OVO Foundation
Arden Forest Multi-Academy Trust,Henley in Arden Primary School,Archive
Arden Forest Multi-Academy Trust,St Nicholas C of E Primary School,Archive
Arden Forest Multi-Academy Trust,Studley Infants' School,OVO Foundation
Arden Forest Multi-Academy Trust,Tanworth-in-Arden Primary School and Nursery,Archive
Arden Forest Multi-Academy Trust,Temple Grafton Primary School,Archive
Arden Forest Multi-Academy Trust,The Ferncumbe C of E Primary School,OVO Foundation
Arden Forest Multi-Academy Trust,Wootton Wawen C of E Primary School,Archive
Argyll and Bute,Oban High School,Drax
"Aspire Academy Trust, Cornwall",Biscovey Academy,OVO Foundation
"Aspire Academy Trust, Cornwall",Biscovey Nursery & Infants' Academy,OVO Foundation
"Aspire Academy Trust, Cornwall",Breage C of E Primary School,OVO Foundation
"Aspire Academy Trust, Cornwall",Bude Primary Academy - Infants,MAT funding
"Aspire Academy Trust, Cornwall",Bude Primary Academy - Juniors,OVO Foundation
"Aspire Academy Trust, Cornwall",Bugle School and Bugle Nursery,OVO Foundation
"Aspire Academy Trust, Cornwall",Connor Downs Academy,OVO Foundation
"Aspire Academy Trust, Cornwall",Coverack Primary School,MAT funding
"Aspire Academy Trust, Cornwall",Crowan Primary School,MAT funding
"Aspire Academy Trust, Cornwall",Cubert School,MAT funding
"Aspire Academy Trust, Cornwall",Cusgarne Primary School,MAT funding
"Aspire Academy Trust, Cornwall",Delabole School,MAT funding
"Aspire Academy Trust, Cornwall",Grade Ruan C of E Primary School,MAT funding
"Aspire Academy Trust, Cornwall",Indian Queens Primary School,OVO Foundation
