"School group","School name","Funder"
"ACES Academies Trust","Godmanchester Community Academy","Drax"
"All Saints Catholic Academy Trust","Divine Saviour Catholic Primary School",
"All Saints Catholic Academy Trust","Holy Rood Catholic Primary School",
"All Saints Catholic Academy Trust","St Joan of Arc Catholic Secondary School",
"All Saints Catholic Academy Trust","St John Fisher Catholic Primary School",
"All Saints Catholic Academy Trust","St John's Catholic Primary School, Rickmansworth",
"Anglian Learning","Bassingbourn Village College","Waiting list for funding"
"Anglian Learning","Bottisham Community Primary School","Waiting list for funding"
"Anglian Learning","Bottisham Village College",
"Anglian Learning","Fen Ditton Community Primary School","Waiting list for funding"
"Anglian Learning","Howard Community Primary School","Drax"
"Anglian Learning","Joyce Frankland Academy, Newport","Waiting list for funding"
"Anglian Learning","Linton Heights Junior School","Waiting list for funding"
"Anglian Learning","Linton Village College","Waiting list for funding"
"Anglian Learning","Marleigh Primary Academy","Waiting list for funding"
"Anglian Learning","Sawston Village College","Waiting list for funding"
"Anglian Learning","Stapleford Community Primary School","Waiting list for funding"
"Anglian Learning","The Icknield Primary School","Waiting list for funding"
"Anglian Learning","The Meadow Primary School","Waiting list for funding"
"Anglian Learning","The Netherhall School and Sixth Form Centre","Waiting list for funding"
"Anglian Learning","The Pines","Waiting list for funding"
"Arden Forest Multi-Academy Trust","St Nicholas C of E Primary School","Elbow Beach"
"Arden Forest Multi-Academy Trust","Coughton C of E Primary School","Elbow Beach"
"Arden Forest Multi-Academy Trust","Harbury C of E Primary School","Elbow Beach"
"Arden Forest Multi-Academy Trust","Henley in Arden Primary School","Elbow Beach"
"Arden Forest Multi-Academy Trust","Studley Infants' School","Elbow Beach"
"Arden Forest Multi-Academy Trust","Tanworth-in-Arden Primary School and Nursery","Elbow Beach"
"Arden Forest Multi-Academy Trust","Temple Grafton Primary School","Elbow Beach"
"Arden Forest Multi-Academy Trust","The Ferncumbe C of E Primary School","Elbow Beach"
"Arden Forest Multi-Academy Trust","Wootton Wawen C of E Primary School","Pending data"
"Aurora Academies Trust","City Academy Whitehawk",
"Aurora Academies Trust","Glenleigh Park Primary Academy",
"Aurora Academies Trust","Heron Park Primary Academy",
"Aurora Academies Trust","King Offa Primary Academy",
"Aurora Academies Trust","Oakwood Primary Academy",
"Aurora Academies Trust","The Gatwick School",
"Aurora Academies Trust","Westvale Park Primary Academy",
"Bath and NE Somerset","Paulton Junior School",
"Bath and NE Somerset","Twerton Infant School","Postcode Local Trust"
"Bath and Wells Multi Academy Trust","Batheaston Church School",
"Bath and Wells Multi Academy Trust","Freshford Church School","OVO Foundation"
"Bath and Wells Multi Academy Trust","St Andrew's Church School",
"Bath and Wells Multi Academy Trust","St Michael's Junior Church School","Postcode Local Trust"
"Bath and Wells Multi Academy Trust","St Saviours Infant Church School",
"Bath and Wells Multi Academy Trust","St Saviours Junior Church School",
"Bath and Wells Multi Academy Trust","St Stephen's Church School",
"Bath and Wells Multi Academy Trust","Swainswick Church School","OVO Foundation"
"Birmingham","Arden Primary School","Postcode Local Trust"
"Bradgate Education Partnership","Broomfield Primary School","Waiting list for funding"
"Bradgate Education Partnership","Church Hill Infant School","Drax"
"Bradgate Education Partnership","Eastfield Primary School","Waiting list for funding"
"Bradgate Education Partnership","Gaddesby Primary School","Waiting list for funding"
"Bradgate Education Partnership","Great Dalby Primary School","Waiting list for funding"
"Bradgate Education Partnership","Highgate Primary School","Drax"
"Bradgate Education Partnership","Mercenfeld Primary School","Waiting list for funding"
"Bradgate Education Partnership","Newtown Linford Primary School","Waiting list for funding"
"Bradgate Education Partnership","Ratby Primary School","Drax"
"Bradgate Education Partnership","Seagrave Village Primary School","Waiting list for funding"
"Bradgate Education Partnership","Stafford Leys Primary School","Waiting list for funding"
"Bradgate Education Partnership","Swallowdale Primary School","Drax"
"Bradgate Education Partnership","The Merton Primary School","Waiting list for funding"
"Bradgate Education Partnership","The Pochin School","Waiting list for funding"
"Bradgate Education Partnership","The Roundhill Academy","MAT funding"
"Bradgate Education Partnership","Wreake Valley Academy","MAT funding"
"Brighton and Hove","Balfour Primary School","Brighton Energy Co-op"
"Brighton and Hove","Carden Nursery & Primary School",
"Brighton and Hove","Coldean Primary School","Brighton Energy Co-op"
"Brighton and Hove","Cottesmore St Mary Primary School",
"Brighton and Hove","Dorothy Stringer School","Waiting list for funding"
"Brighton and Hove","Goldstone Primary School",
"Brighton and Hove","Hertford Junior School","Brighton Energy Co-op"
"Brighton and Hove","Hove Junior School (Portland Road site)",
"Brighton and Hove","Middle Street Primary School",
"Brighton and Hove","Moulsecoomb Primary school",
"Brighton and Hove","St Bernadette's R C Primary School",
"Brighton and Hove","St John the Baptist Catholic Primary School, Brighton","Waiting list for funding"
"Brighton and Hove","St Luke's Primary School",
"Brighton and Hove","St Margaret's Primary School",
"Brighton and Hove","St Mary's Catholic Primary School, Hove",
"Brighton and Hove","St Nicolas Primary School",
"Brighton and Hove","Stanford Junior School",
"Brighton and Hove","West Hove Infant School (School Road Site)","Waiting list for funding"
"Brighton and Hove","West Hove Infants and Hove Juniors (Holland Road site)","Waiting list for funding"
"Brighton and Hove","Woodingdean Primary School","Brighton Energy Co-op"
"Bristol","Redfield Educate Together Primary Academy",
"Camden","Gospel Oak Primary and Nursery School",
"Carmarthenshire/Sir G̢r","Bryngwyn School","Carmarthenshire Council"
"Carmarthenshire/Sir G̢r","Halfway CP School",
"Carmarthenshire/Sir G̢r","Model Church In Wales School","Carmarthenshire Council"
"Carmarthenshire/Sir G̢r","Penygaer Primary School and Ysgol Dewi Sant",
"Carmarthenshire/Sir G̢r","Ysgol Bro Brynach","Carmarthenshire Council"
"Carmarthenshire/Sir G̢r","Ysgol Bro Dinefwr",
"Carmarthenshire/Sir G̢r","Ysgol Coedcae School","School self funding"
"Carmarthenshire/Sir G̢r","Ysgol Gwynfryn",
"Carmarthenshire/Sir G̢r","Ysgol Gymraeg Brynsierfel",
"Carmarthenshire/Sir G̢r","Ysgol Gymraeg Rhydaman",
"Carmarthenshire/Sir G̢r","Ysgol Gymraeg Teilo Sant",
"Carmarthenshire/Sir G̢r","Ysgol Gymunedol Peniel",
"Carmarthenshire/Sir G̢r","Ysgol Hafodwenog","Carmarthenshire Council"
"Carmarthenshire/Sir G̢r","Ysgol Llangadog",
"Carmarthenshire/Sir G̢r","Ysgol Maes Y Gwendraeth",
"Carmarthenshire/Sir G̢r","Ysgol Pen Rhos",
"Carmarthenshire/Sir G̢r","Ysgol Pontyberem","Carmarthenshire Council"
"Carmarthenshire/Sir G̢r","Ysgol Rhys Prichard",
"Carmarthenshire/Sir G̢r","Ysgol Trimsaran",
"Central Region Schools Trust","Abbeywood First & Church Hill Middle School","MAT funding"
"Central Region Schools Trust","Arrow Vale High School","MAT funding"
"Central Region Schools Trust","Arrow Valley First School","MAT funding"
"Central Region Schools Trust","Gospel Oak School, Tipton","MAT funding"
"Central Region Schools Trust","Holyhead School","MAT funding"
"Central Region Schools Trust","Ipsley CE Middle School","MAT funding"
"Central Region Schools Trust","Lickhill Primary School","MAT funding"
"Central Region Schools Trust","Oldbury Park Primary School","MAT funding"
"Central Region Schools Trust","St Stephen's CE First School","MAT funding"
"Central Region Schools Trust","Sutton Park Primary School","MAT funding"
"Central Region Schools Trust","Waseley Hills High School","MAT funding"
"Coastal Academies Trust","Cliftonville Primary School & Pre-School","MAT funding"
"Coastal Academies Trust","Dane Court Grammar School",
"Coastal Academies Trust","Hartsdown Academy","MAT funding"
"Coastal Academies Trust","King Ethelbert School",
"Concordia MAT","Childer Thornton Primary School",
