gsp_id,gsp_name,pes_id
0,NATIONAL,0
1,ABHA1,22
2,ABNE_P,17
3,ABTH_1,21
4,ACTL_2|CBNK_H|GREE_H|PERI_H|WESA_H,20
6,ALNE_P,17
7,ALST_3|USKM_1,21
8,ALVE1,22
9,AMEM_1,10
10,ARBR_P,17
11,ARDK_P|CLAC_P,17
12,ARMO_P|HARG_P,17
13,AXMI1,22
14,AYRR,18
15,BAGA,18
16,BAIN,18
18,BEAU_P|ORRI_P,17
19,BEDDT1,12
20,BEDD_1,19
21,BERB_P|CAIF_P|DALL_P|GLEF_P|KEIT_P,17
22,BERW,18
23,BESW_1,11
24,BICF_1,11
25,BIRK_1,13
26,BISW_1,14
27,BLYTB1,15
28,BLYTH132,15
29,BOAG_P,17
30,BOLN_1,19
31,BONN,18
32,BOTW_1,20
33,BRAC_P,17
34,BRAI_1,10
35,BRAP,18
36,BRAW_1,23
37,BRED_1,16
38,BRFO_1|CLT03,10
39,BRID_P,17
40,BRIM_1,10
41,BRLE_1|FLEE_1,20
42,BROA_P,17
43,BROR_P,17
44,BROX,18
45,BRWA1,22
46,BUMU_P,17
47,BURM_1,10
48,BUSH_1,14
49,BUST_1,14
50,CAAD_P,17
51,CAFA|EAST|GLLE|KEOO|TONG1,18
52,CAMB_01,23
54,CAPEA1,13
55,CARE_1,21
56,CARR_1,16
57,CASS_P,17
58,CATY,18
59,CEAN_P,17
60,CELL_1,14
61,CHAP,18
62,CHAR_P,17
63,CHAS,18
64,CHIC_1,20
65,CHSI_1,19
66,CHTE_1,11
67,CITR_1,12
68,CLAY_P,17
69,CLYM,18
70,COAT,18
71,COCK,18
72,CONQA1|SASA,13
73,COUA_P,17
74,COVE_1,11
76,COYL,18
77,CRAI_P,17
78,CREB_1,23
79,CROO,18
80,CUMB,18
81,CUPA,18
82,CURR,18
83,DALM3,18
84,DEVM,18
85,DEVO,18
86,DEWP,18
87,DOUN_P,17
88,DRAK_1,11
89,DRAX_1,23
90,DRCR,18
91,DRUM,18
92,DUBE_P,17
93,DUDH_P|GLAG_P,17
94,DUGR_P,17
95,DUMF,18
96,DUNB,18
97,DUNF|TOWH,18
98,DUNO_P,17
99,DYCE_P,17
100,EALI_6,20
101,EASO_1,10
102,ECCL,18
103,ECLA_1,11
104,EERH,18
105,EKIL,18
106,EKIS,18
107,ELDE,18
108,ELGI_P,17
109,ELLA_1,23
110,ELST_1,10
111,ENDE_1,11
112,ERSK,18
113,EXET1,22
114,FASN_P,17
115,FAUG_P,17
116,FAWL_1,20
117,FECK_6,14
118,FERRA2,23
119,FERRB_M,23
120,FETT_P|KINT_P|ROTI3,17
121,FIDD_P,17
122,FIDF_1,13
123,FINN,18
124,FOUR_1,15
125,FRAS_P,17
126,FROD_1,13
127,FWIL_P,17
128,GALA,18
129,GIFF,18
130,GLLU,18
131,GLNI,18
132,GLRO,18
133,GORG,18
134,GOVA,18
135,GREN_1,11
