"GSPs","long","lat"
"NETS",-4.47950786941804,54.9391795940722
"CHAP",-3.17082800484294,55.1999717614916
"BISW_1",-2.63884257087426,52.2182104868642
"PORD",-4.22921732561997,55.880969073818
"BROR_P",-3.90843996506617,58.0869426291112
"NAIR_P",-3.75737461513748,57.3471370980099
"BRIM_1",-0.105744584390422,51.6789101273685
"ECLA_H",-1.16660153854811,51.938720608937
"CUMB",-3.96008039574307,55.9431399097932
"GRIW_1",-0.208995082279935,53.5852910767205
"STOR_P",-6.61515027446086,58.1827708048346
"WATFS_1",-0.549484997528043,51.690612418988
"WBUR_1",-0.526185894527493,53.2292743354064
"CHAR_P",-3.08931944695705,56.4728352997544
"WHHO",-3.20314013937089,55.9174661563895
"AXMI1",-2.87603097504588,50.8207033643979
"LITT_J",0.199969106920445,51.4292647812191
"FINN",-4.28280592345792,55.8721405948694
"ELST_1",-0.345123305446451,51.7065234538445
"AYRR",-4.6247687141592,55.4327394221192
"MAYB",-4.7120572093337,55.209843502301
"AXMI_H",-2.51064077777739,50.9429513667982
"FIDD_P",-2.41750878334595,56.8947096049863
"SFEG_P",-1.85602882317577,57.5767107650125
"ENDE_1",-1.24009236373449,52.6567701211733
"LALE1SG003",-0.502880685198938,51.4316427847444
"PYLE_1",-3.63118633209321,51.5048972707525
"SALH_1",-1.20789938005161,54.62917547156
"GORG",-3.22465480838999,55.9353767267564
"PERS_P",-2.1341666095259,57.1923462404448
"BIRK_1",-3.06882648872766,53.3547747669933
"LEVE",-2.86754150056063,56.2281092461266
"DRAX_1",-1.00150103965957,53.7776007618366
"CAPEA1",-2.86339704511392,53.2149939150469
"RUGEB1",-1.89694402270649,52.7208647887388
"HELE",-4.76370133531246,56.0313584774708
"ABHA1",-3.76443776667794,50.440034702965
"IVER_1|IVER_6",-0.56639409730315,51.5431691860193
"CUPA",-2.99341931565527,56.3272644744457
"TEMP_3",-1.33479945543195,53.4130509343162
"STLE",-4.45848598122652,56.1072343999924
"WALP_1",0.406740577459623,52.6613756289746
"IROA1",-2.32445357614179,51.6484050801762
"Off_NETS(unassigned)",-5.11662156893201,55.2510716626128
"Off_NETS(unassigned)",-6.31740871870905,56.9742662620687
"DUNO_P",-5.10713618068308,55.9419510064145
"TAYN_P",-5.69987592725522,56.4260027647475
"FROD_1",-2.687633733661,53.2976567158846
"LING",-3.47428275283444,55.8513182353423
"QUOI_P",-5.24844593608233,57.0698291374354
"WISD_6",-0.235525421605656,51.5090019676145
"SBAR",-1.07705870018919,52.9538307199036
"GIFF",-4.30452069177617,55.7413512557827
"BOAG_P",-3.90943292025487,57.159232596573
"BERW",-2.0942848319301,55.7605055421479
"LACK_6",-0.984784549820423,54.5169206029522
"STES_1",-2.02233599929956,55.0263827351116
"BROA_P",-5.68810202527359,57.2849964412305
"SANX",-4.26942753452154,55.8459200957537
"WALP_B",-0.150191698337156,52.8282809558367
"NHYD_6",-0.40587292243523,51.494360679529
"Off_NETS(unassigned)",-5.63044513631102,57.0282361937538
"MITY_1",-1.79573900722899,51.6764482179082
"BRAC_P",-3.97788209222201,56.2568950663869
"SPAV",-4.85065532100541,55.9154631696527
"FWIL_P",-5.40509636992951,56.7988429846282
"BARKW3",0.100625506382171,51.5127473691773
"PADIB1",-2.32248643451395,53.9337756950092
"WARL_1",0.301090795443306,51.5983299847052
"ELDE",-4.4535683136098,55.8298787300753
"ALVE1",-4.11053945335997,50.8939526625986
"NEEP_3",-1.59062895607608,53.4145490483816
"HURS_1",0.0518550659635652,51.4407207194695
"TELR",-3.25879777533996,55.9773268690328
"INKE",-3.396682345263,56.0318988168564
"MILH_1",-0.22020593524883,51.6022192397749
"FOUR_1",-2.23614879408038,55.0229736078335
"WALH_1",-2.30365759614927,51.8631590586354
"PEHS_P",-1.83219727173512,57.4742451597862
"BUSH_1",-2.12899835499218,52.7432026341042
"WILL_1",-1.59501724102456,53.0166311984771
"ECLA_1",-1.34149582720251,52.0941142352439
"WBOL_6",-1.47676942950921,54.9364397139625
"LAIR_P",-4.47186612998065,58.0464278557867
"TARL_P",-3.08771207419955,57.1019819354322
"KEMS_1",0.793071682437474,51.3446515640943
"SHEC_3",-1.44642553692149,53.3657054152774
"IMPK_1",-3.03673356391972,51.5559155328296
"NEAR",-3.78482109146345,55.8106435120002
"IROA1",-2.57495348836317,51.4662467643481
"CHIC_1",-2.49150655225394,50.7223529960361
"NORT_1",-1.67322212148898,54.3694163543356
"GLRO",-3.19319233483303,56.2228394230498
"NURS_1",-1.46093794936509,51.0080948249041
"CITR_1",-0.095726841469214,51.5203438629447
"BRIM_1",0.066058138690271,51.618153762644
"BLYTH132",-1.88347527215741,55.42130656085
"INDQ1",-5.06142184265538,50.316783582792
"CONQA1|SASA",-3.28988092892084,53.186885073473
"SJOW_1",-0.16223370056501,51.5106414844292
"LOVE_1",-0.852712009619031,50.8688993383805
"RANN_P",-4.6877729574211,56.6196386345189
"OLDB_1",-2.03331444803534,52.4951805584234
"WTHU31",0.308393563220011,51.4799543156998
"MELK_1",-1.99759806728409,51.3424401997413
"HAMHC1",-1.62177119800895,52.6168416420427
"DUDH_P|GLAG_P",-2.97262919385807,56.4642039216446
"DEWP",-3.20900148394015,55.9612988830877
"SHRU",-3.18677222266411,55.9740922412535
"TOTT_1",-0.100734753038217,51.6288357410573
"HUTT_1",-2.641763005738,54.4764119409335
"EXET1",-3.45875044488597,50.8163896242958
"BOLN_1",-0.266958718158143,51.0181055443577
"BESW_1",-1.53000031295847,52.2840257279226
"KILT",-4.51647956170738,55.6606892260137
"HEYS_1|HEYS1|ORMO",-2.74840111309035,54.0386630461404
"DRUM",-4.37045042966402,55.9619374679474
"STAY_1",-0.843398843301348,53.1563910955622
"JOHN",-4.62673024165179,55.8499913319891
"STEN_1",-1.71157633671687,54.9736126834029
"THOM_6",-1.1243185144552,53.5466917138398
"LITT_C",0.173664534578501,51.4582858825606
"STLE",-4.54194957426911,55.9721133288957
"MANN_1",-1.98773173952309,50.9002628411999
"CAMB_01",-0.854038801700844,53.6635963931504
"WWEY_1",-0.450954604502083,51.2812846144531
"KINO_1",0.468030506494775,51.3786930569402
"PEHG_P",-1.86355196782275,57.5165828239271
