Group admin,School name,MAT,Diocese,Local Authority,School URL,MAT/LA group,MAT/LA group URL,Project group,Project URL
Becca,Appleton Primary School,The Constellation Trust,,Hull City,https://energysparks.uk/schools/appleton-primary-school,The Constellation Trust,https://energysparks.uk/admin/school_groups/the-constellation-trust,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Becca,Arbourthorne Community Primary School,n/a,,Sheffield,Account not set up yet,Sheffield,https://energysparks.uk/admin/school_groups/sheffield,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Becca,Aspire Academy,Heartwood Learning Trust,,Hull City,https://energysparks.uk/schools/hu9-5de-aspire-academy,Heartwood Learning Trust,https://energysparks.uk/admin/school_groups/heartwood-learning-trust,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Becca,Ayresome Primary School,Ad Astra Academy Trust,,Middlesbrough,Account not set up yet,Ad Astra Academy Trust,https://energysparks.uk/admin/school_groups/ad-astra-academy-trust,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Becca,Bishop Wilson Church of England Primary School,n/a,Diocese of Birmingham,Solihull,https://energysparks.uk/schools/bishop-wilson-church-of-england-primary-school,Solihull,https://energysparks.uk/admin/school_groups/solihull,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Becca,Bloomsbury Nursery School,n/a,,Birmingham,https://energysparks.uk/schools/bloomsbury-nursery-school,Birmingham,https://energysparks.uk/admin/school_groups/birmingham,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Becca,Bowburn Primary School,Advance Learning Partnership,,County Durham,Account not set up yet,Advance Learning Partnership,https://energysparks.uk/admin/school_groups/advance-learning-partnership,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Becca,Brougham Primary School,Ad Astra Academy Trust,,Hartlepool,https://energysparks.uk/schools/brougham-primary-school,Ad Astra Academy Trust,https://energysparks.uk/admin/school_groups/ad-astra-academy-trust,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Becca,Burton Green Primary School,Heartwood Learning Trust,,York,Account not set up yet,Heartwood Learning Trust,https://energysparks.uk/admin/school_groups/heartwood-learning-trust,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Becca,"Cardinal Hume Catholic School, Gateshead",Bishop Wilkinson Catholic Education Trust,,Gateshead,https://energysparks.uk/schools/cardinal-hume-catholic-school-gateshead,Bishop Wilkinson Catholic Education Trust,https://energysparks.uk/admin/school_groups/bishop-wilkinson-catholic-education-trust,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
