id,RGN22NM,LAD22CD
"555",North East,E06000003
"554",North East,E06000003
"556",North East,E06000004
"557",North East,E06000004
"1418",Yorkshire and The Humber,E06000010
"1356",Yorkshire and The Humber,E06000010
"1332",Yorkshire and The Humber,E06000011
"1333",Yorkshire and The Humber,E06000011
"1398",Yorkshire and The Humber,E06000011
"1336",Yorkshire and The Humber,E06000011
"1310",Yorkshire and The Humber,E06000011
"1474",Yorkshire and The Humber,E06000011
"1335",Yorkshire and The Humber,E06000011
"1395",Yorkshire and The Humber,E06000011
"1334",Yorkshire and The Humber,E06000011
"1594",Yorkshire and The Humber,E06000011
"448",Yorkshire and The Humber,E06000012
"461",Yorkshire and The Humber,E06000012
"434",Yorkshire and The Humber,E06000012
"1055",Yorkshire and The Humber,E06000013
"450",Yorkshire and The Humber,E06000013
"1100",Yorkshire and The Humber,E06000013
"1040",Yorkshire and The Humber,E06000013
"432",Yorkshire and The Humber,E06000013
"1078",Yorkshire and The Humber,E06000013
"1043",Yorkshire and The Humber,E06000013
"1541",Yorkshire and The Humber,E06000013
"1094",Yorkshire and The Humber,E06000013
"1046",Yorkshire and The Humber,E06000013
"1049",Yorkshire and The Humber,E06000013
"1044",Yorkshire and The Humber,E06000013
"1164",Yorkshire and The Humber,E06000013
"1098",Yorkshire and The Humber,E06000013
"1077",Yorkshire and The Humber,E06000013
"1105",Yorkshire and The Humber,E06000013
"1123",Yorkshire and The Humber,E06000013
"1041",Yorkshire and The Humber,E06000013
"1092",Yorkshire and The Humber,E06000013
"1088",Yorkshire and The Humber,E06000013
"1042",Yorkshire and The Humber,E06000013
"1118",Yorkshire and The Humber,E06000013
"1047",Yorkshire and The Humber,E06000013
"1095",Yorkshire and The Humber,E06000013
"1031",Yorkshire and The Humber,E06000014
"956",Yorkshire and The Humber,E06000014
"1029",Yorkshire and The Humber,E06000014
"1030",Yorkshire and The Humber,E06000014
"1033",Yorkshire and The Humber,E06000014
"1028",Yorkshire and The Humber,E06000014
"1032",Yorkshire and The Humber,E06000014
"532",East Midlands,E06000015
"537",East Midlands,E06000015
"565",East Midlands,E06000015
"1142",East Midlands,E06000015
"1143",East Midlands,E06000015
"542",East Midlands,E06000015
