sep=,
MPR,ReadDatetime,kWh,ReadType
1700052624128,03 Dec 2019 00:00:00,1,Actual
1700052624128,03 Dec 2019 00:30:00,1,Actual
1700052624128,03 Dec 2019 01:00:00,1,Actual
1700052624128,03 Dec 2019 01:30:00,1,Actual
1700052624128,03 Dec 2019 02:00:00,1,Actual
1700052624128,03 Dec 2019 02:30:00,1,Actual
1700052624128,03 Dec 2019 03:00:00,1,Actual
1700052624128,03 Dec 2019 03:30:00,1,Actual
1700052624128,03 Dec 2019 04:00:00,1,Actual
1700052624128,03 Dec 2019 04:30:00,1,Actual
1700052624128,03 Dec 2019 05:00:00,1,Actual
1700052624128,03 Dec 2019 05:30:00,1,Actual
1700052624128,03 Dec 2019 06:00:00,1,Actual
1700052624128,03 Dec 2019 06:30:00,1,Actual
1700052624128,03 Dec 2019 07:00:00,1,Actual
1700052624128,03 Dec 2019 07:30:00,1,Actual
1700052624128,03 Dec 2019 08:00:00,1,Actual
1700052624128,03 Dec 2019 08:30:00,1,Actual
1700052624128,03 Dec 2019 09:00:00,1,Actual
1700052624128,03 Dec 2019 09:30:00,1,Actual
1700052624128,03 Dec 2019 10:00:00,1,Actual
1700052624128,03 Dec 2019 10:30:00,1,Actual
1700052624128,03 Dec 2019 11:00:00,1,Actual
1700052624128,03 Dec 2019 11:30:00,1,Actual
1700052624128,03 Dec 2019 12:00:00,1,Actual
1700052624128,03 Dec 2019 12:30:00,1,Actual
1700052624128,03 Dec 2019 13:00:00,1,Actual
1700052624128,03 Dec 2019 13:30:00,1,Actual
1700052624128,03 Dec 2019 14:00:00,1,Actual
1700052624128,03 Dec 2019 14:30:00,1,Actual
1700052624128,03 Dec 2019 15:00:00,1,Actual
1700052624128,03 Dec 2019 15:30:00,1,Actual
1700052624128,03 Dec 2019 16:00:00,1,Actual
1700052624128,03 Dec 2019 16:30:00,1,Actual
1700052624128,03 Dec 2019 17:00:00,1,Actual
1700052624128,03 Dec 2019 17:30:00,1,Actual
1700052624128,03 Dec 2019 18:00:00,1,Actual
1700052624128,03 Dec 2019 18:30:00,1,Actual
1700052624128,03 Dec 2019 19:00:00,1,Actual
1700052624128,03 Dec 2019 19:30:00,1,Actual
1700052624128,03 Dec 2019 20:00:00,1,Actual
1700052624128,03 Dec 2019 20:30:00,1,Actual
1700052624128,03 Dec 2019 21:00:00,1,Actual
1700052624128,03 Dec 2019 21:30:00,1,Actual
1700052624128,03 Dec 2019 22:00:00,1,Actual
1700052624128,03 Dec 2019 22:30:00,1,Actual
1700052624128,03 Dec 2019 23:00:00,1,Actual
1700052624128,03 Dec 2019 23:30:00,1,Actual
1710146092002,03 Dec 2019 00:00:00,25.1,Actual
1710146092002,03 Dec 2019 00:30:00,25.4,Actual
1710146092002,03 Dec 2019 01:00:00,26.4,Actual
1710146092002,03 Dec 2019 01:30:00,26.3,Actual
1710146092002,03 Dec 2019 02:00:00,22.9,Actual
1710146092002,03 Dec 2019 02:30:00,17.1,Actual
1710146092002,03 Dec 2019 03:00:00,14,Actual
1710146092002,03 Dec 2019 03:30:00,13.9,Actual
1710146092002,03 Dec 2019 04:00:00,9.5,Actual
1710146092002,03 Dec 2019 04:30:00,7.2,Estimated
1710146092002,03 Dec 2019 05:00:00,5.9,Estimated
1710146092002,03 Dec 2019 05:30:00,5.9,Estimated
1710146092002,03 Dec 2019 06:00:00,10.2,Estimated
1710146092002,03 Dec 2019 06:30:00,12,Estimated
1710146092002,03 Dec 2019 07:00:00,13.7,Estimated
1710146092002,03 Dec 2019 07:30:00,12.9,Estimated
1710146092002,03 Dec 2019 08:00:00,12.4,Estimated
1710146092002,03 Dec 2019 08:30:00,11,Estimated
1710146092002,03 Dec 2019 09:00:00,10.9,Estimated
1710146092002,03 Dec 2019 09:30:00,10.8,Estimated
1710146092002,03 Dec 2019 10:00:00,9.2,Estimated
1710146092002,03 Dec 2019 10:30:00,5.5,Estimated
1710146092002,03 Dec 2019 11:00:00,5.3,Estimated
1710146092002,03 Dec 2019 11:30:00,5.5,Estimated
1710146092002,03 Dec 2019 12:00:00,6.6,Estimated
1710146092002,03 Dec 2019 12:30:00,6.9,Estimated
1710146092002,03 Dec 2019 13:00:00,5.5,Estimated
1710146092002,03 Dec 2019 13:30:00,5.4,Estimated
1710146092002,03 Dec 2019 14:00:00,5.6,Estimated
1710146092002,03 Dec 2019 14:30:00,5.4,Estimated
1710146092002,03 Dec 2019 15:00:00,4.1,Estimated
1710146092002,03 Dec 2019 15:30:00,4.1,Estimated
1710146092002,03 Dec 2019 16:00:00,3.5,Estimated
1710146092002,03 Dec 2019 16:30:00,3.2,Estimated
1710146092002,03 Dec 2019 17:00:00,3,Estimated
1710146092002,03 Dec 2019 17:30:00,2.5,Estimated
1710146092002,03 Dec 2019 18:00:00,2.5,Estimated
1710146092002,03 Dec 2019 18:30:00,2.5,Estimated
1710146092002,03 Dec 2019 19:00:00,2.5,Estimated
1710146092002,03 Dec 2019 19:30:00,2.7,Estimated
1710146092002,03 Dec 2019 20:00:00,2.5,Estimated
1710146092002,03 Dec 2019 20:30:00,2.6,Estimated
1710146092002,03 Dec 2019 21:00:00,2.5,Estimated
1710146092002,03 Dec 2019 21:30:00,2.5,Estimated
1710146092002,03 Dec 2019 22:00:00,2.6,Estimated
1710146092002,03 Dec 2019 22:30:00,2.5,Estimated
