sep=,
MPR,ReadDatetime,kWh,ReadType
1710035168313,26 Aug 2019 00:30:00,14.4,Actual
1710035168313,26 Aug 2019 01:00:00,15,Actual
1710035168313,26 Aug 2019 01:30:00,15.1,Actual
1710035168313,26 Aug 2019 02:00:00,15,Actual
1710035168313,26 Aug 2019 02:30:00,15,Actual
1710035168313,26 Aug 2019 03:00:00,15,Actual
1710035168313,26 Aug 2019 03:30:00,14.9,Actual
1710035168313,26 Aug 2019 04:00:00,15.1,Actual
1710035168313,26 Aug 2019 04:30:00,15,Actual
1710035168313,26 Aug 2019 05:00:00,15.1,Actual
1710035168313,26 Aug 2019 05:30:00,15.7,Actual
1710035168313,26 Aug 2019 06:00:00,19.6,Actual
1710035168313,26 Aug 2019 06:30:00,29.9,Actual
1710035168313,26 Aug 2019 07:00:00,29.7,Actual
1710035168313,26 Aug 2019 07:30:00,30.2,Actual
1710035168313,26 Aug 2019 08:00:00,29.6,Actual
1710035168313,26 Aug 2019 08:30:00,34.1,Actual
1710035168313,26 Aug 2019 09:00:00,34.4,Actual
1710035168313,26 Aug 2019 09:30:00,34.7,Actual
1710035168313,26 Aug 2019 10:00:00,33.5,Actual
1710035168313,26 Aug 2019 10:30:00,33.5,Actual
1710035168313,26 Aug 2019 11:00:00,33.4,Actual
1710035168313,26 Aug 2019 11:30:00,33.6,Actual
1710035168313,26 Aug 2019 12:00:00,34.5,Actual
1710035168313,26 Aug 2019 12:30:00,33.7,Actual
1710035168313,26 Aug 2019 13:00:00,34,Actual
1710035168313,26 Aug 2019 13:30:00,32.7,Actual
1710035168313,26 Aug 2019 14:00:00,34.2,Actual
1710035168313,26 Aug 2019 14:30:00,35.1,Actual
1710035168313,26 Aug 2019 15:00:00,33,Actual
1710035168313,26 Aug 2019 15:30:00,33.4,Actual
1710035168313,26 Aug 2019 16:00:00,32.6,Actual
1710035168313,26 Aug 2019 16:30:00,33.1,Actual
1710035168313,26 Aug 2019 17:00:00,37.6,Actual
1710035168313,26 Aug 2019 17:30:00,38.9,Actual
1710035168313,26 Aug 2019 18:00:00,37.7,Actual
1710035168313,26 Aug 2019 18:30:00,36.7,Actual
1710035168313,26 Aug 2019 19:00:00,32.9,Actual
1710035168313,26 Aug 2019 19:30:00,33.1,Actual
1710035168313,26 Aug 2019 20:00:00,31.1,Actual
1710035168313,26 Aug 2019 20:30:00,27.6,Actual
1710035168313,26 Aug 2019 21:00:00,23.3,Actual
