sep=,
MPR,ReadDatetime,kWh,ReadType
1712423842469,04 Nov 2019 00:30:00,1.9,Actual
1712423842469,04 Nov 2019 01:00:00,1.8,Actual
1712423842469,04 Nov 2019 01:30:00,1.7,Actual
1712423842469,04 Nov 2019 02:00:00,1.9,Actual
1712423842469,04 Nov 2019 02:30:00,1.7,Actual
1712423842469,04 Nov 2019 03:00:00,1.7,Actual
1712423842469,04 Nov 2019 03:30:00,1.9,Actual
1712423842469,04 Nov 2019 04:00:00,2,Actual
1712423842469,04 Nov 2019 04:30:00,1.7,Actual
1712423842469,04 Nov 2019 05:00:00,2.5,Actual
1712423842469,04 Nov 2019 05:30:00,2.3,Actual
1712423842469,04 Nov 2019 06:00:00,2.7,Actual
1712423842469,04 Nov 2019 06:30:00,2.9,Actual
1712423842469,04 Nov 2019 07:00:00,3,Actual
1712423842469,04 Nov 2019 07:30:00,6.3,Actual
1712423842469,04 Nov 2019 08:00:00,11.6,Actual
1712423842469,04 Nov 2019 08:30:00,13.2,Actual
1712423842469,04 Nov 2019 09:00:00,14.7,Actual
1712423842469,04 Nov 2019 09:30:00,16.5,Actual
1712423842469,04 Nov 2019 10:00:00,15.1,Actual
1712423842469,04 Nov 2019 10:30:00,15.7,Actual
1712423842469,04 Nov 2019 11:00:00,17.1,Actual
1712423842469,04 Nov 2019 11:30:00,14.9,Actual
1712423842469,04 Nov 2019 12:00:00,12.5,Actual
1712423842469,04 Nov 2019 12:30:00,12.9,Actual
1712423842469,04 Nov 2019 13:00:00,12.6,Actual
1712423842469,04 Nov 2019 13:30:00,10.3,Actual
1712423842469,04 Nov 2019 14:00:00,11.5,Actual
1712423842469,04 Nov 2019 14:30:00,11.3,Actual
1712423842469,04 Nov 2019 15:00:00,10.6,Actual
1712423842469,04 Nov 2019 15:30:00,11.7,Actual
1712423842469,04 Nov 2019 16:00:00,11.2,Actual
1712423842469,04 Nov 2019 16:30:00,9.3,Actual
1712423842469,04 Nov 2019 17:00:00,6.9,Actual
1712423842469,04 Nov 2019 17:30:00,5.1,Actual
1712423842469,04 Nov 2019 18:00:00,4.8,Actual
1712423842469,04 Nov 2019 18:30:00,4,Actual
1712423842469,04 Nov 2019 19:00:00,3.8,Actual
1712423842469,04 Nov 2019 19:30:00,3.6,Actual
1712423842469,04 Nov 2019 20:00:00,3.7,Actual
1712423842469,04 Nov 2019 20:30:00,3.8,Actual
1712423842469,04 Nov 2019 21:00:00,3.3,Actual
1712423842469,04 Nov 2019 21:30:00,2.6,Actual
1712423842469,04 Nov 2019 22:00:00,2.1,Actual
1712423842469,04 Nov 2019 22:30:00,2.2,Actual
1712423842469,04 Nov 2019 23:00:00,2.3,Actual
1712423842469,04 Nov 2019 23:30:00,2.3,Actual
1712423842469,05 Nov 2019 00:00:00,2.2,Actual
