school,type,date,degree_days,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
A,gas,01/09/2010,2.4,2.3,3.4,2.3,3.4,2.3,3.4,3.4,2.3,3.4,2.3,2.3,1.1,2.3,3.4,3.4,2.3,3.4,2.3,3.4,2.3,1.1,2.3,2.3,3.4,2.3,0,3.4,2.3,3.4,0,2.3,3.4,2.3,0,3.4,2.3,0,0,5.7,1.1,2.3,2.3,3.4,2.3,1.1,2.3,2.3,3.4
A,gas,02/09/2010,2.3,2.3,3.4,3.4,2.3,1.1,2.3,2.3,3.4,2.3,3.4,3.4,2.3,3.4,2.3,3.4,0,2.3,3.4,2.3,3.4,2.3,1.1,2.3,2.3,3.4,2.3,0,3.4,2.3,0,3.4,2.3,0,3.4,2.3,0,0,0,6.8,0,3.4,2.3,3.4,2.3,0,3.4,2.3,3.4
A,gas,03/09/2010,2.2,2.3,1.1,2.3,3.4,2.3,3.4,2.3,3.4,2.3,0,3.4,3.4,2.3,3.4,2.3,3.4,2.3,1.1,2.3,2.3,3.4,2.3,3.4,0,2.3,3.4,2.3,1.1,2.3,2.3,3.4,0,2.3,3.4,0,2.3,0,0,6.8,0,2.3,3.4,2.3,3.4,0,3.4,2.3,3.4
A,gas,04/09/2010,1.6,2.3,0,3.4,2.3,3.4,2.3,3.4,3.4,1.1,1.1,3.4,2.3,3.4,2.3,3.4,2.3,1.1,2.3,2.3,3.4,2.3,3.4,0,2.3,3.4,2.3,0,3.4,2.3,3.4,0,2.3,3.4,2.3,0,3.4,2.3,0,3.4,3.4,2.3,0,3.4,2.3,3.4,2.3,0,3.4
A,gas,05/09/2010,1.2,2.3,3.4,2.3,2.3,1.1,2.3,3.4,3.4,2.3,1.1,2.3,2.3,3.4,2.3,3.4,2.3,0,3.4,2.3,3.4,2.3,2.3,1.1,3.4,2.3,3.4,0,2.3,3.4,2.3,3.4,0,2.3,3.4,2.3,0,3.4,2.3,3.4,1.1,1.1,3.4,2.3,3.4,0,2.3,3.4,3.4
A,gas,06/09/2010,0.8,2.3,0,3.4,2.3,3.4,2.3,0,3.4,2.3,3.4,2.3,1.1,2.3,3.4,2.3,3.4,2.3,0,3.4,2.3,3.4,1.1,1.1,3.4,2.3,0,3.4,2.3,3.4,0,3.4,2.3,3.4,0,2.3,3.4,0,0,0,0,0,0,0,0,0,0,0,0
A,gas,07/09/2010,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2.3,3.4,2.3,1.1,2.3,3.4,2.3,3.4,2.3,0,3.4,2.3,3.4,1.1,1.1,3.4,3.4,2.3,0,3.4,0,0,6.8,0,2.3,3.4,2.3,3.4,3.4,0,2.3,3.4
A,gas,08/09/2010,1.8,2.3,3.4,3.4,1.1,1.1,3.4,2.3,3.4,3.4,2.3,3.4,2.3,0,3.4,2.3,3.4,3.4,2.3,3.4,1.1,1.1,3.4,2.3,3.4,0,3.4,2.3,3.4,0,2.3,3.4,2.3,0,3.4,2.3,3.4,0,0,5.7,2.3,1.1,2.3,3.4,2.3,3.4,2.3,1.1,2.3
A,gas,09/09/2010,1,3.4,2.3,3.4,2.3,3.4,3.4,0,2.3,3.4,2.3,3.4,2.3,3.4,2.3,0,3.4,3.4,2.3,3.4,2.3,0,3.4,2.3,3.4,0,2.3,3.4,2.3,0,3.4,2.3,3.4,0,2.3,3.4,2.3,0,0,5.7,1.1,2.3,2.3,3.4,2.3,3.4,0,2.3,3.4
A,gas,10/09/2010,0.5,2.3,3.4,3.4,2.3,0,3.4,2.3,3.4,2.3,3.4,0,2.3,3.4,2.3,3.4,2.3,0,3.4,3.4,2.3,3.4,0,2.3,3.4,2.3,0,3.4,2.3,3.4,0,2.3,3.4,0,2.3,3.4,2.3,0,0,5.7,0,3.4,2.3,3.4,2.3,0,3.4,2.3,3.4
A,gas,11/09/2010,0.4,2.3,0,3.4,2.3,3.4,2.3,0,3.4,2.3,3.4,0,3.4,2.3,3.4,2.3,0,3.4,2.3,3.4,2.3,1.1,2.3,2.3,3.4,2.3,0,3.4,2.3,3.4,0,2.3,3.4,0,2.3,3.4,3.4,0,2.3,3.4,2.3,3.4,2.3,0,3.4,2.3,3.4,3.4,2.3
A,gas,12/09/2010,2.4,2.3,1.1,2.3,3.4,2.3,3.4,3.4,2.3,3.4,2.3,1.1,2.3,2.3,3.4,2.3,3.4,3.4,2.3,3.4,2.3,1.1,2.3,2.3,3.4,2.3,2.3,1.1,2.3,3.4,2.3,0,3.4,2.3,2.3,1.1,2.3,3.4,2.3,0,3.4,2.3,3.4,3.4,2.3,3.4,1.1,1.1,3.4
